SourcePlate,SourceWell,DestPlate,Destwell,Volume
IndexPlate,A1,FinalPool,1,60
IndexPlate,B1,FinalPool,1,60
IndexPlate,C1,FinalPool,1,60
IndexPlate,D1,FinalPool,1,60
IndexPlate,E1,FinalPool,1,60
IndexPlate,F1,FinalPool,1,60
IndexPlate,G1,FinalPool,1,60
IndexPlate,H1,FinalPool,1,60
IndexPlate,A2,FinalPool,1,60
IndexPlate,B2,FinalPool,1,60
IndexPlate,C2,FinalPool,1,60
IndexPlate,D2,FinalPool,1,60
IndexPlate,E2,FinalPool,2,60
IndexPlate,F2,FinalPool,2,60
IndexPlate,G2,FinalPool,2,60
IndexPlate,H2,FinalPool,2,60
IndexPlate,A3,FinalPool,2,60
IndexPlate,B3,FinalPool,2,60
IndexPlate,C3,FinalPool,2,60
IndexPlate,D3,FinalPool,2,60
IndexPlate,E3,FinalPool,2,60
IndexPlate,F3,FinalPool,2,60
IndexPlate,G3,FinalPool,2,60
IndexPlate,H3,FinalPool,2,60
IndexPlate,A4,FinalPool,3,60
IndexPlate,B4,FinalPool,3,60
IndexPlate,C4,FinalPool,3,60
IndexPlate,D4,FinalPool,3,60
IndexPlate,E4,FinalPool,3,60
IndexPlate,F4,FinalPool,3,60
IndexPlate,G4,FinalPool,3,60
IndexPlate,H4,FinalPool,3,60
IndexPlate,A5,FinalPool,3,60
IndexPlate,B5,FinalPool,3,60
IndexPlate,C5,FinalPool,3,60
IndexPlate,D5,FinalPool,3,60
IndexPlate,E5,FinalPool,4,60
IndexPlate,F5,FinalPool,4,60
IndexPlate,G5,FinalPool,4,60
IndexPlate,H5,FinalPool,4,60
IndexPlate,A6,FinalPool,4,60
IndexPlate,B6,FinalPool,4,60
IndexPlate,C6,FinalPool,4,60
IndexPlate,D6,FinalPool,4,60
IndexPlate,E6,FinalPool,4,60
IndexPlate,F6,FinalPool,4,60
IndexPlate,G6,FinalPool,4,60
IndexPlate,H6,FinalPool,4,60
IndexPlate,A7,FinalPool,5,60
IndexPlate,B7,FinalPool,5,60
IndexPlate,C7,FinalPool,5,60
IndexPlate,D7,FinalPool,5,60
IndexPlate,E7,FinalPool,5,60
IndexPlate,F7,FinalPool,5,60
IndexPlate,G7,FinalPool,5,60
IndexPlate,H7,FinalPool,5,60
IndexPlate,A8,FinalPool,5,60
IndexPlate,B8,FinalPool,5,60
IndexPlate,C8,FinalPool,5,60
IndexPlate,D8,FinalPool,5,60
